id,product_category,product_name,price,price_unit
382,Specialty Surgery,Total Burn Care,10.59,USD
383,Specialty Surgery,Lumbar Interbody Fusions,12.99,USD
384,Specialty Surgery,Abernathy's Surgical Secrets,9.79,USD
385,Specialty Surgery,Pediatric Head and Neck Masses,10.99,USD
386,Specialty Surgery,Scaphoid Fractures: Evidence-Based Management,9.79,USD
387,Specialty Surgery,Functional Neurosurgery and Neuromodulation,9.59,USD
388,Veterinary Medicine,Rebhun's Diseases of Dairy Cattle,9.89,USD
389,Veterinary Medicine,Equine Internal Medicine,9.99,USD
390,Veterinary Medicine,Exotic Animal Formulary,9.39,USD
391,Veterinary Medicine,Textbook of Veterinary Diagnostic Radiology,8.79,USD
392,Veterinary Medicine,Small Animal Medical Differential Diagnosis,6.99,USD
393,"Agricultural, Biological, and Food Sciences",Soil Science Test Project,10.39,USD
394,"Agricultural, Biological, and Food Sciences",Modern Detection Techniques for Food Safety and Quality,9.99,USD
395,"Agricultural, Biological, and Food Sciences",Sweet potato processing technology,7.79,USD
396,"Agricultural, Biological, and Food Sciences",Food Biosynthesis,10.59,USD
397,"Agricultural, Biological, and Food Sciences",Food Bioconversion,11.49,USD
398,"Agricultural, Biological, and Food Sciences",Soft Chemistry in Food Fermentation,8.99,USD
399,"Agricultural, Biological, and Food Sciences",Ingredients Extraction by Physico-Chemical Methods,5.99,USD
400,"Agricultural, Biological, and Food Sciences",ISTE topics in Agriculture 1,5.89,USD
401,"Agricultural, Biological, and Food Sciences",A Practical Guide to Sensory and Consumer Evaluation,5.99,USD
402,"Agricultural, Biological, and Food Sciences",Kent’s Technology of Cereals,7.59,USD
403,"Agricultural, Biological, and Food Sciences",New Aspects of Meat Quality,9.99,USD
404,"Agricultural, Biological, and Food Sciences",Chemical Contaminants and Residues in Food,11.99,USD
405,"Agricultural, Biological, and Food Sciences",Regulatory Impact on Food Product Development in the European Union,9.99,USD
406,"Agricultural, Biological, and Food Sciences",Lawrie´s Meat Science,10.99,USD
407,"Agricultural, Biological, and Food Sciences",Advances in Sheep Welfare,11.99,USD
408,"Agricultural, Biological, and Food Sciences",Improving the Sensory and Nutritional Quality of Fresh Meat,14.99,USD
409,"Agricultural, Biological, and Food Sciences",Proteins in Food Processing,13.49,USD
410,"Agricultural, Biological, and Food Sciences",Poultry Quality Evaluation,13.99,USD
411,"Agricultural, Biological, and Food Sciences",Food Microstructure and Its Relationship with Quality and Stability,14.79,USD
412,"Agricultural, Biological, and Food Sciences",Case Studies in Novel Food Processing Technologies,11.99,USD
413,"Agricultural, Biological, and Food Sciences",Gluten-Free Ancient Grains,21.49,USD
414,"Agricultural, Biological, and Food Sciences",Starch in Food,12.99,USD
415,"Agricultural, Biological, and Food Sciences",Advances in Poultry Welfare,13.99,USD
416,"Agricultural, Biological, and Food Sciences",Soft Drink and Fruit Juice Problems Solved,13.79,USD
417,"Agricultural, Biological, and Food Sciences","Foods, Nutrients and Food Ingredients with Authorised EU Health Claims, Volume 3",15.49,USD
418,"Agricultural, Biological, and Food Sciences",Advances in Cattle Welfare,15.49,USD
419,"Agricultural, Biological, and Food Sciences",Consumer Science and Strategic Marketing: Case Studies in the Wine Industry,15.99,USD
420,"Agricultural, Biological, and Food Sciences",Sensory Panel Management,16.49,USD
421,"Agricultural, Biological, and Food Sciences",Consumer Science and Strategic Marketing,13.59,USD
422,"Agricultural, Biological, and Food Sciences",Discrimination Testing in Sensory Science,16.99,USD
423,"Agricultural, Biological, and Food Sciences",Advances in Pig Welfare,15.89,USD
424,"Agricultural, Biological, and Food Sciences",Advances in Agricultural Animal Welfare,20.99,USD
425,"Agricultural, Biological, and Food Sciences","Methods in Consumer Research, Volume 2",16.99,USD
426,"Agricultural, Biological, and Food Sciences","Methods in Consumer Research, Volume 1",14.89,USD
427,"Agricultural, Biological, and Food Sciences",Food Freezing and Frozen Food Storage,19.99,USD
428,"Agricultural, Biological, and Food Sciences",Recognition Systems,12.99,USD
429,"Agricultural, Biological, and Food Sciences",Cheese,19.99,USD
430,"Agricultural, Biological, and Food Sciences",Introduction to Food Toxicology,16.49,USD
431,"Agricultural, Biological, and Food Sciences",Enzymes,25.99,USD
432,"Agricultural, Biological, and Food Sciences",Genomics in Food Safety,16.99,USD
433,"Agricultural, Biological, and Food Sciences",The Edible Aroids,19.99,USD
434,"Agricultural, Biological, and Food Sciences",Fruit Juices,17.99,USD
435,"Agricultural, Biological, and Food Sciences",Sustainable Management of Arthropod Pests of Tomato,13.99,USD
436,"Agricultural, Biological, and Food Sciences",Food Fortification in a Globalized World,27.99,USD
437,"Agricultural, Biological, and Food Sciences",Nutrition in the Prevention and Treatment of Disease,18.99,USD
438,"Agricultural, Biological, and Food Sciences",Biology of Oysters,14.99,USD
439,"Agricultural, Biological, and Food Sciences",The Biology and Conservation of the Whooping Crane (Grus americana),10.99,USD
440,"Agricultural, Biological, and Food Sciences",Phytotherapy in Aquaculture,15.69,USD
441,"Agricultural, Biological, and Food Sciences","Biofuels, Bioenergy and Food Security",43.99,USD
442,"Agricultural, Biological, and Food Sciences",Incorporating Cultures' Role in the Food and Agricultural Sciences,39.99,USD
443,"Agricultural, Biological, and Food Sciences",Vegetarian and Plant Based Diets in Health and Disease Prevention,19.99,USD
444,"Agricultural, Biological, and Food Sciences",Proteomics in Food Science,29.99,USD
445,"Agricultural, Biological, and Food Sciences",The Biology and Conservation of Cheetahs,15.99,USD
446,"Agricultural, Biological, and Food Sciences",Functional Diversity of Mycorrhiza and Sustainable Agriculture,15.49,USD
447,"Agricultural, Biological, and Food Sciences",Encyclopedia of Marine Mammals,49.99,USD
448,"Agricultural, Biological, and Food Sciences",Nature's Machines,12.99,USD
449,"Agricultural, Biological, and Food Sciences",Ultrasound: Advances for Food Processing and Preservation,14.49,USD
450,"Agricultural, Biological, and Food Sciences",Controlled and Modified Atmosphere for Fresh and Fresh-Cut Produce,14.99,USD
451,"Agricultural, Biological, and Food Sciences",The Bifidobacteria and Related Organisms,11.99,USD
452,"Agricultural, Biological, and Food Sciences",Myxomycetes,12.99,USD
453,"Agricultural, Biological, and Food Sciences",Yogurt in Health and Disease Prevention,11.99,USD
454,"Agricultural, Biological, and Food Sciences",Physiology of the Cladocera,13.99,USD
455,"Agricultural, Biological, and Food Sciences",Animals and Human Society,10.99,USD
456,"Agricultural, Biological, and Food Sciences",Pathology of Zoo and Wild Animals,104.99,USD
457,"Agricultural, Biological, and Food Sciences",High Throughput Next Generation Sequence Analysis for Food Microbiologists,26.99,USD
458,"Agricultural, Biological, and Food Sciences","Arthropod Vector: Controller of Disease Transmission, Volume 1",16.99,USD
459,"Agricultural, Biological, and Food Sciences",Mixed-Species Groups of Animals,38.99,USD
460,"Agricultural, Biological, and Food Sciences",Multifunctional Agriculture,10.99,USD
461,"Agricultural, Biological, and Food Sciences","Arthropod Vector: Controller of Disease Transmission, Volume 2",13.99,USD
462,"Agricultural, Biological, and Food Sciences",The Future Rice Strategy for India,12.99,USD
463,"Agricultural, Biological, and Food Sciences",Conservation for the Anthropocene Ocean,8.99,USD
464,"Agricultural, Biological, and Food Sciences",Micronutrients in Human Health,8.79,USD
465,"Agricultural, Biological, and Food Sciences",Immunity and Inflammation in Health and Disease,12.99,USD
466,"Agricultural, Biological, and Food Sciences",Enzymes in Human and Animal Nutrition,8.99,USD
467,"Agricultural, Biological, and Food Sciences",FDA Warning Letters about Food Products,14.79,USD
468,"Agricultural, Biological, and Food Sciences",Sexual Biology and Reproduction in Crustaceans,9.99,USD
469,"Agricultural, Biological, and Food Sciences",Examining Ecology,10.69,USD
470,"Agricultural, Biological, and Food Sciences",Nutritional and Health Aspects of Traditional and Ethnic Foods of Nordic Countries,12.39,USD
471,"Agricultural, Biological, and Food Sciences",Bioactive Polysaccharides,9.99,USD
472,"Agricultural, Biological, and Food Sciences",Unconventional Oilseeds and Oil Sources,11.99,USD
473,"Agricultural, Biological, and Food Sciences",Wafer and Waffle Processing and Manufacturing,12.99,USD
474,"Agricultural, Biological, and Food Sciences",Starch-based Materials in Food Packaging,14.49,USD
475,"Agricultural, Biological, and Food Sciences",Starches for Food Application,10.99,USD
476,"Agricultural, Biological, and Food Sciences",#NAME?,15.99,USD
477,"Agricultural, Biological, and Food Sciences",Fatty Acids,12.99,USD
478,"Agricultural, Biological, and Food Sciences",Staphylococcus Aureus,11.99,USD
479,"Agricultural, Biological, and Food Sciences",Nanoencapsulation of Food Bioactive Ingredients,10.59,USD
480,"Agricultural, Biological, and Food Sciences",Nutrients in Dairy and Their Implications on Health and Disease,9.99,USD
481,"Agricultural, Biological, and Food Sciences",Preharvest Modulation of Postharvest Fruit and Vegetable Quality,11.89,USD
482,"Agricultural, Biological, and Food Sciences",Dairy in Human Health and Disease Across the Lifespan,11.99,USD
483,"Agricultural, Biological, and Food Sciences",Handbook of Grape Processing By-Products,8.79,USD
484,"Agricultural, Biological, and Food Sciences",Ethnozoology,9.99,USD
485,"Agricultural, Biological, and Food Sciences",Hazard Analysis and Risk Based Preventative Controls,13.39,USD
486,"Agricultural, Biological, and Food Sciences",Smart Technologies for Sustainable Smallholder Agriculture,9.99,USD
487,"Agricultural, Biological, and Food Sciences","Irradiation for Quality Improvement, Microbial Safety and Phytosanitation of Fresh Produce",10.99,USD
488,"Agricultural, Biological, and Food Sciences",Innovative Technologies for Food Preservation,12.49,USD
489,"Agricultural, Biological, and Food Sciences",Why Penguins Communicate,13.39,USD
490,"Agricultural, Biological, and Food Sciences",Hazard Analysis and Risk Based Preventive Controls,10.59,USD
491,"Agricultural, Biological, and Food Sciences",Plant Macro-Nutrient Use Efficiency,10.59,USD
492,"Agricultural, Biological, and Food Sciences",Food Bioconversion,11.29,USD
493,"Agricultural, Biological, and Food Sciences",Hormone Metabolism and Signaling in Plants,13.99,USD
494,"Agricultural, Biological, and Food Sciences",Climate Change Impacts on Soil Processes and Ecosystem Properties,7.89,USD
495,"Agricultural, Biological, and Food Sciences",Process Control,9.59,USD
496,"Biochemistry, Genetics and Molecular Biology",Immunosensing for Detection of Protein Biomarkers,10.99,USD
497,"Biochemistry, Genetics and Molecular Biology",Ion Channels in Health and Disease,9.99,USD
498,"Biochemistry, Genetics and Molecular Biology",Boorman's Pathology of the Rat,13.99,USD
499,"Biochemistry, Genetics and Molecular Biology",Genomic and Precision Medicine,9.99,USD
500,"Biochemistry, Genetics and Molecular Biology",Epigenetics and Behavior,13.79,USD
501,"Biochemistry, Genetics and Molecular Biology",Viroids and Satellites,7.89,USD
502,"Biochemistry, Genetics and Molecular Biology",Genomic and Precision Medicine,13.89,USD
503,"Biochemistry, Genetics and Molecular Biology",Neural Lipid Signalling,12.49,USD
504,"Biochemistry, Genetics and Molecular Biology",Developmental and Regenerative Biology,12.89,USD
505,"Biochemistry, Genetics and Molecular Biology",Cell Polarity in Development and Disease,9.99,USD
506,"Biochemistry, Genetics and Molecular Biology",Biology and Engineering of Stem Cell Niches,10.69,USD
507,"Biochemistry, Genetics and Molecular Biology",Diagnostic Molecular Biology,11.79,USD
508,"Biochemistry, Genetics and Molecular Biology",Translational Aspects of Extracellular Matrix,10.99,USD
509,"Biochemistry, Genetics and Molecular Biology",Epigenetics and Systems Biology,10.49,USD
510,"Biochemistry, Genetics and Molecular Biology",Viruses,13.99,USD
511,"Biochemistry, Genetics and Molecular Biology",Nuclear Architecture and Dynamics,10.99,USD
512,"Biochemistry, Genetics and Molecular Biology",Regenerative Medicine Translation,7.99,USD
513,"Biochemistry, Genetics and Molecular Biology",Medical Biochemistry,11.59,USD
514,"Biochemistry, Genetics and Molecular Biology",Computational Epigenomics and Disease,11.99,USD
515,"Biochemistry, Genetics and Molecular Biology",Cytokine Effector Functions in Tissues,19.79,USD
516,"Biochemistry, Genetics and Molecular Biology",Long Noncoding RNAs,20.49,USD
517,"Biochemistry, Genetics and Molecular Biology",The Human Body,19.99,USD
518,"Biochemistry, Genetics and Molecular Biology",Nitric Oxide,36.79,USD
519,"Biochemistry, Genetics and Molecular Biology",ReSearch,17.69,USD
520,"Biochemistry, Genetics and Molecular Biology",Gnotobiotics,15.99,USD
521,"Biochemistry, Genetics and Molecular Biology",RNA Methodologies,21.49,USD
522,"Biochemistry, Genetics and Molecular Biology",The European Research Management Handbook,17.79,USD
523,"Biochemistry, Genetics and Molecular Biology",Protein NMR Spectroscopy,9.99,USD
524,"Biochemistry, Genetics and Molecular Biology",Handbook of Epigenetics,19.99,USD
525,"Biochemistry, Genetics and Molecular Biology","An Introduction to Ethical, Safety and Intellectual Property Rights Issues in Biotechnology",18.59,USD
526,"Biochemistry, Genetics and Molecular Biology",Animal Models for the Study of Human Disease,19.99,USD
527,"Biochemistry, Genetics and Molecular Biology",Electrocardiography of Laboratory Animals,16.49,USD
528,"Biochemistry, Genetics and Molecular Biology",Dyneins,15.99,USD
529,"Biochemistry, Genetics and Molecular Biology",Dyneins,21.89,USD
530,"Biochemistry, Genetics and Molecular Biology",Epigenetic Mechanisms in Cancer,16.99,USD
531,"Biochemistry, Genetics and Molecular Biology",Problem Sets Series: Case Studies in Biochemistry,18.99,USD
532,"Biochemistry, Genetics and Molecular Biology",Glyceraldehyde-3-Phosphate Dehydrogenase (GAPDH),16.99,USD
533,"Biochemistry, Genetics and Molecular Biology",HIV/AIDS,17.69,USD
534,"Biochemistry, Genetics and Molecular Biology",Bioinformatics for Beginners,16.89,USD
535,"Biochemistry, Genetics and Molecular Biology",Gas Bubble Dynamics in the Human Body,15.79,USD
536,"Biochemistry, Genetics and Molecular Biology",Cancer and Noncoding RNAs,17.49,USD
537,"Biochemistry, Genetics and Molecular Biology",Retrovirus-Cell Interactions,18.89,USD
538,"Biochemistry, Genetics and Molecular Biology",Mucosal Vaccines,16.99,USD
539,"Biochemistry, Genetics and Molecular Biology","Cell Surface GRP78, a New Paradigm in Signal Transduction Biology",14.79,USD
540,"Biochemistry, Genetics and Molecular Biology",It's in Your DNA,16.59,USD
541,"Biochemistry, Genetics and Molecular Biology",High Throughput Bioanalytical Sample Preparation,10.79,USD
542,Biomedical Science and Medicine,Nanoemulsions,18.99,USD
543,Biomedical Science and Medicine,Atlas of Comparative Vertebrate Histology,6.59,USD
544,Biomedical Science and Medicine,Laboratory Exercises in Molecular Pathology,11.99,USD
545,Biomedical Science and Medicine,An Introduction to Cardiovascular Therapy,9.99,USD
546,Biomedical Science and Medicine,"Kidney Transplantation, Bioengineering and Regeneration",9.99,USD
547,Biomedical Science and Medicine,Back to Basics In Physiology,11.99,USD
548,Biomedical Science and Medicine,The Contribution of Pathology and Laboratory Medicine to Clinical Informatics,12.69,USD
549,Biomedical Science and Medicine,Heart Failure in the in the Child and Young Adult,15.99,USD
550,Biomedical Science and Medicine,Advances in Brain Cancer for Clinicians and Scientists,9.49,USD
551,Biomedical Science and Medicine,Molecular Pathology,21.49,USD
552,Biomedical Science and Medicine,Biomarkers in Inborn Errors of Metabolism,16.49,USD
553,Biomedical Science and Medicine,Comparative Anatomy and Histology,10.49,USD
554,Biomedical Science and Medicine,Think Like a Biostatistics Analyst,22.99,USD
555,Biomedical Science and Medicine,Clinical Informatics Literacy,11.49,USD
556,Biomedical Science and Medicine,Textbook of Nephro-Endocrinology,13.99,USD
557,Biomedical Science and Medicine,Endocrine Biomarkers,11.99,USD
558,Biomedical Science and Medicine,Principles of Gender-Specific Medicine,34.99,USD
559,Biomedical Science and Medicine,Lung Epithelial Biology in the Pathogenesis of Pulmonary Disease,13.99,USD
560,Biomedical Science and Medicine,Ethical Challenges in Oncology,10.49,USD
561,Biomedical Science and Medicine,Alpha-1-antitrypsin Deficiency,10.39,USD
562,Biomedical Science and Medicine,"Transfusion Medicine, Apheresis, and Hemostasis",19.99,USD
563,Biomedical Science and Medicine,Cutaneous Melanoma,9.99,USD
564,Biomedical Science and Medicine,Genetics of Bone Biology and Skeletal Disease,11.99,USD
565,Biomedical Science and Medicine,Case Studies in Physiology,13.89,USD
566,Biomedical Science and Medicine,Chronic Kidney Disease in Disadvantaged Populations,23.49,USD
567,Biomedical Science and Medicine,Translational Bioinformatics and Systems Biology Methods for Personalized Medicine,34.99,USD
568,Biomedical Science and Medicine,Case Studies in Public Health,16.49,USD
569,Biomedical Science and Medicine,Omics Technologies and Bio-engineering,8.99,USD
570,Biomedical Science and Medicine,Surgical Treatment of Atrial Fibrillation,12.99,USD
571,Biomedical Science and Medicine,Research in the Biomedical Sciences,15.49,USD
572,Biomedical Science and Medicine,Dietary Fiber for the Prevention of Cardiovascular Disease,18.49,USD
573,Biomedical Science and Medicine,Microbiology and Molecular Diagnosis in Pathology,38.99,USD
574,Biomedical Science and Medicine,"Health Professionals' Education in the Age of Clinical Information Systems, Mobile Computing and Social Networks",14.99,USD
575,Biomedical Science and Medicine,Gastrointestinal Tissue,18.99,USD
576,Biomedical Science and Medicine,Nitric Oxide Donors,19.99,USD
577,Biomedical Science and Medicine,Disaster Epidemiology,15.69,USD
578,Biomedical Science and Medicine,Pouchitis and Ileal Pouch Disorders,14.49,USD
579,Biomedical Science and Medicine,Atlas of the Human Body,15.99,USD
580,Biomedical Science and Medicine,Human Genome Informatics,14.79,USD
581,Biomedical Science and Medicine,Key Advances in Clinical Informatics,13.69,USD
582,Biomedical Science and Medicine,Blanco's Overview of Alpha-1 Antitrypsin Deficiency,19.99,USD
583,Biomedical Science and Medicine,Molecular Physiology of the Blood Vessel,16.49,USD
584,Biomedical Science and Medicine,Health Reform Policy to Practice,16.89,USD
585,Biomedical Science and Medicine,"GERD: A NEW UNDERSTANDING OF PATHOLOGY, PATHOPHYSIOLOGY, AND TREATMENT",28.59,USD
586,Biomedical Science and Medicine,Manual of Coronary Chronic Total Occlusion Interventions,17.99,USD
587,Biomedical Science and Medicine,Bladder Cancer,16.49,USD
588,Biomedical Science and Medicine,Vitamin D,29.99,USD
589,Biomedical Science and Medicine,Vitamin D,17.99,USD
590,Biomedical Science and Medicine,Medical Writing and Editing,16.49,USD
591,Biomedical Science and Medicine,New Approaches to the Aortic Disease from Valve to Abdominal Bifurcation,22.99,USD
592,Biomedical Science and Medicine,Lifestyle Medicine,16.99,USD
593,Biomedical Science and Medicine,The Complete Reference for Scimitar Syndrome,26.99,USD
594,Biomedical Science and Medicine,Skin Tissue Models for Regenerative Medicine,22.99,USD
595,Biomedical Science and Medicine,Value of Diagnostic Imaging,14.89,USD
596,Biomedical Science and Medicine,Nitric Oxide as a Chemosensitizing Agent,16.99,USD
597,Biomedical Science and Medicine,Wilson Disease,10.69,USD
598,Biomedical Science and Medicine,The Prevention of Cardiovascular Disease through The Mediterranean Diet,13.99,USD
599,Biomedical Science and Medicine,Data Literacy,16.79,USD
600,Biomedical Science and Medicine,Congenital Adrenal Hyperplasia,11.99,USD
601,Biomedical Science and Medicine,International Gender Specific Medicine,13.99,USD
602,Biomedical Science and Medicine,Coronary Artery Disease,11.99,USD
603,Biomedical Science and Medicine,Early Warning for Infectious Disease Outbreak,13.99,USD
604,Biomedical Science and Medicine,Role of Nutraceuticals in Chemoresistance to Cancer,18.49,USD
605,Biomedical Science and Medicine,Understanding the Complexities of Child Growth,19.49,USD
606,Biomedical Science and Medicine,Development of rFVIIa,10.69,USD
607,Biomedical Science and Medicine,Thyroid Cancer and Nuclear Accidents,14.69,USD
608,Biomedical Science and Medicine,Biopharmaceutical Management,19.99,USD
609,Biomedical Science and Medicine,Pharmacoepidemiology and Pharmacovigilance,15.99,USD
610,Biomedical Science and Medicine,Signals and Systems in e-Health,9.49,USD
611,Biomedical Science and Medicine,New Health Systems,10.89,USD
612,Biomedical Science and Medicine,Transposable Elements and RNA,13.49,USD
613,Biomedical Science and Medicine,Looking at Ribozymes,9.39,USD
614,Chemical Engineering,Statistical Mechanics of Colloidal Matter,10.69,USD
615,Chemical Engineering,Coalescence Separations,9.69,USD
616,Chemical Engineering,Recrystallization and Related Annealing Phenomena,10.49,USD
617,Chemical Engineering,Biopharmaceutical Processing,8.49,USD
618,Chemical Engineering,Theory of Electrophoresis and Diffusiophoresis of Highly Charged Colloidal Particles,14.89,USD
619,Chemical Engineering,Bretherick's Handbook of Reactive Chemical Hazards,9.99,USD
620,Chemical Engineering,Coulson and Richardson’s Chemical Engineering,10.99,USD
621,Chemical Engineering,Coulson and Richardson’s Chemical Engineering,9.99,USD
622,Chemical Engineering,Coulson and Richardson’s Chemical Engineering,11.69,USD
623,Chemical Engineering,Coulson and Richardson’s Chemical Engineering,8.89,USD
624,Chemical Engineering,Coulson and Richardson’s Chemical Engineering,11.99,USD
625,Chemical Engineering,Process Safety Calculations,8.49,USD
626,Chemical Engineering,"Reliability, Maintainability and Risk",6.79,USD
627,Chemical Engineering,Reaction Engineering,10.99,USD
628,Chemical Engineering,The Science and Technology of Unconventional Oils,9.99,USD
629,Chemical Engineering,Recent Advances in Emerging Membrane Science and Technology,33.99,USD
630,Chemical Engineering,"Thermodynamics, Phase Diagrams and Thermodynamic Modeling of Solutions",10.89,USD
631,Chemical Engineering,Self-Assembly Processes at Interfaces,10.39,USD
632,Chemical Engineering,Novel Catalytic and Separation Processes Based on Ionic Liquids,12.99,USD
633,Chemical Engineering,Natech Risk Assessment and Management,12.49,USD
634,Chemical Engineering,Polyurethane Polymers,11.89,USD
635,Chemical Engineering,Polyurethane Polymers,9.69,USD
636,Chemical Engineering,Anisotropic Particle Assemblies,7.89,USD
637,Chemical Engineering,Lignocellulosics,15.79,USD
638,Chemical Engineering,Concise Encyclopedia of Self-Propagating High-Temperature Synthesis,14.79,USD
639,Chemical Engineering,A Systems Approach to Managing the Complexities of Process Industries,12.79,USD
640,Chemical Engineering,The Art of Cryogenics,15.79,USD
641,Chemical Engineering,"Morphological, Compositional, and Shape Control of Materials for Catalysis",12.69,USD
642,Chemical Engineering,Purification of Laboratory Chemicals,15.89,USD
643,Chemical Engineering,Desalination Sustainability,15.89,USD
644,Chemical Engineering,Sustainable Design Through Process Integration,10.99,USD
645,Chemical Engineering,General Chemistry for Engineers,9.99,USD
646,Chemical Engineering,Rules of Thumb for Chemical Engineers,14.59,USD
647,Chemical Engineering,Pulp and Paper Industry,14.99,USD
648,Chemical Engineering,Generalized van der Waals Theory of Molecular Fluids in Bulk and at Surfaces,12.59,USD
649,Chemical Engineering,Fuel Cells and Hydrogen,8.79,USD
650,Chemical Engineering,Reaction Rate Theory and Rare Events,9.89,USD
651,Chemical Engineering,Lead-Acid Batteries: Science and Technology,10.99,USD
652,Chemical Engineering,Artificial Photosynthesis,14.99,USD
653,Chemical Engineering,Monodispersed Particles,13.99,USD
654,Chemical Engineering,Advanced Industrial Lead-Acid Batteries,14.69,USD
655,Chemical Engineering,Pressurized Fluids for Food and Natural Products Processing,17.99,USD
656,Chemical Engineering,New and Future Developments in Microbial Biotechnology and Bioengineering,17.99,USD
657,Chemical Engineering,New and Future Developments in Microbial Biotechnology and Bioengineering,21.99,USD
658,Chemical Engineering,New and Future Developments in Microbial Biotechnology and Bioengineering,19.99,USD
659,Chemical Engineering,Nanolayer Research,23.99,USD
660,Chemical Engineering,Future Directions in Biocatalysis,29.99,USD
661,Chemical Engineering,Safety of Lithium Batteries,29.99,USD
662,Chemical Engineering,Experimental Methods and Instrumentation for Chemical Engineers,11.59,USD
663,Chemical Engineering,Algal Green Chemistry,15.99,USD
664,Chemical Engineering,Current Trends and Future Developments on (Bio-) Membranes,15.99,USD
665,Chemical Engineering,Methanol,13.99,USD
666,Chemical Engineering,Gibbs' Entropic Paradox and Problems of Separation Processes,19.99,USD
667,Chemical Engineering,ESCAPE 27 Set,13.99,USD
668,Chemical Engineering,Non-covalent Interactions in Organocatalysis,9.99,USD
669,Chemical Engineering,Bioreactor Modeling,4.99,USD
670,Chemical Engineering,Organocatalyzed Domino and Multicomponent Reactions,11.99,USD
671,Chemical Engineering,Recent Advances in Aminocatalyzed Cascade Reactions,19.99,USD
672,Chemical Engineering,SOMO and Photoredox Activations in Asymmetric Organocatalysis,4.94,USD
673,Chemistry,Separation Science and Technology,6.59,USD
674,Chemistry,Transition Metal Catalyzed Isoquinoline Synthesis,18.99,USD
675,Chemistry,Fundamentals of Enviromental Chemistry,9.49,USD
676,Chemistry,Searching and Researching: An Autobiography,5.49,USD
677,Chemistry,Medicinal Chemistry,4.79,USD
678,Chemistry,The Chemistry of Radical Polymerization,14.99,USD
679,Chemistry,Validamycin and Its Derivatives,4.99,USD
680,Chemistry,Design of Hybrid Molecules for Drug Development,11.89,USD
681,Chemistry,The Chemistry of Heterocycles,27.59,USD
682,Chemistry,Progress in Heterocyclic Chemistry,4.79,USD
683,Chemistry,Medicinal Chemistry for Organic Chemists,8.99,USD
684,Chemistry,Physical Chemistry,6.79,USD
685,Chemistry,Electron Microscopy and Analysis,7.49,USD
686,Chemistry,Organosilicon Compounds,4.29,USD
687,Chemistry,Advanced Inorganic Chemistry,9.99,USD
688,Chemistry,Sampling and Analysis of Environmental Chemical Pollutants,23.99,USD
689,Chemistry,Future Role of Chemistry as Gleaned from Granted U.S. Chemical Patents,19.89,USD
690,Chemistry,NMR Case Studies,9.99,USD
691,Chemistry,Metal Complexes of Non-Innocent Ligands,4.49,USD
692,Chemistry,Patent Law Basics for Chemists and Research Professionals,15.99,USD
693,Chemistry,C-Furanosides,10.99,USD
694,Chemistry,Encapsulated Catalysts,7.89,USD
695,Chemistry,Modelling and Simulation in the Science of Micro- and Meso-Porous Materials,4.99,USD
696,Chemistry,Piperidine-based Drug Discovery,12.39,USD
697,Chemistry,Strategies for Palladium-Catalyzed Non-Directed and Directed C-H Bond Functionalization,8.39,USD
698,Chemistry,Liquid Chromatography,13.99,USD
699,Chemistry,Liquid Chromatography,23.99,USD
700,Chemistry,Separation Science and Proteomics,13.89,USD
701,Chemistry,Transition Metal-Catalyzed Indole Synthesis,13.89,USD
702,Chemistry,Water Extraction of Bioactive Compounds,27.99,USD
703,Chemistry,Handbook of Synthetic Organic Chemistry,19.59,USD
704,Chemistry,Making Drugs From Fragments,10.99,USD
705,Chemistry,Non-covalent Interactions in Quantum Chemistry and Physics,9.99,USD
706,Chemistry,"Electrons, Atoms, and Molecules in Inorganic Chemistry",7.99,USD
707,Chemistry,Frontiers and Advances in Molecular Spectroscopy,18.99,USD
708,Chemistry,Strategies and Tactics in Organic Synthesis,11.99,USD
709,Chemistry,Biological Chirality,6.45,USD
710,Chemistry,Introduction to Graphene,12.49,USD
711,Chemistry,Laboratory Methods in Microfluidics,11.99,USD
712,Chemistry,Molecular and Laser Spectroscopy,17.99,USD
713,Chemistry,Sample Introduction Systems in ICP-MS and ICP-OES,16.99,USD
714,Chemistry,Analysis of Cosmetic Products,5.69,USD
715,Chemistry,Priority Pollutants Monitoring in Water,11.99,USD
716,Chemistry,UV-Visible Spectrophotometry of Water and Wastewater,7.49,USD
717,Chemistry,Studies in Natural Products Chemistry,11.89,USD
718,Chemistry,Studies in Natural Products Chemistry,8.99,USD
719,Chemistry,Studies in Natural Products Chemistry,8.99,USD
720,Chemistry,Frontiers in Medicinal Chemistry,19.99,USD
721,Computer Science,Data Fusion for Intelligent Vehicles,5.09,USD
722,Computer Science,Big Data in Cyber-Physical Society,4.49,USD
723,Computer Science,Machine Learning,14.99,USD
724,Computer Science,Three-Dimensional Integrated Circuit Design,11.99,USD
725,Computer Science,Network Routing,8.79,USD
726,Computer Science,Understanding Virtual Reality,12.49,USD
727,Computer Science,Patterns for Data Parallel Programming,12.69,USD
728,Computer Science,Environment Modeling-based Requirements Engineering for Software Intensive Systems,6.89,USD
729,Computer Science,The Complete Business Process Handbook,13.79,USD
730,Computer Science,CUDA Programming,9.99,USD
731,Computer Science,The Complete Business Process Handbook,14.99,USD
732,Computer Science,Transfer Learning,9.99,USD
733,Computer Science,Theoretic Foundation of Predictive Data Analytics,8.99,USD
734,Computer Science,Computer and Information Security Handbook,14.59,USD
